row_id,question,answer,human_score_1to5,notes
0,How many medals did australia win in the 2000 olympics?,"Australia achieved a remarkable performance at the 2000 Summer Olympics, held in Sydney. They secured an impressive total of **57 medals**, making it one of their most successful Olympic Games to date. This medal haul was comprised of:

*   **24 Gold Medals:** Demonstrating dominance in various sports like swimming, rowing, and athletics.
*   **25 Silver Medals:** Reflecting strong performances across a wide range of disciplines.
*   **18 Bronze Medals:** Rounding out the impressive total and showcasing consistent competitiveness.

The 2000 Olympics were particularly significant for Australia as they served as the host nation, which often provides an added boost in performance due to home-field advantage and enthusiastic support from the local population. The success resonated deeply within the country and remains a celebrated moment in Australian sporting history.",2,
1,Which political party is currently in power in ireland?,"As of my last update in October 2023, the main political parties in Ireland are Fianna FÃ¡il and Fine Gael. These two parties have dominated Irish politics for decades, often forming a government together or competing against each other.

Fianna FÃ¡il, led by MicheÃ¡l Martin since 2018, is one of Ireland's oldest political parties. It was founded in 1926 as the Republican Party and has been in power multiple times throughout its history. Fianna FÃ¡il is known for its social democratic policies and its strong support among working-class voters.

Fine Gael, led by Enda Kenny from 2017 to 2023, was founded in 1944 as the Progressive Democratic Party. It has been one of Ireland's major parties since then. Fine Gael is generally considered a center-right party and has traditionally had strong support among middle-class voters.

In recent years, there have been significant changes in Irish politics. Sinn FÃ©in, another major political party, has gained more prominence due to its role in the Brexit negotiations and its support for Irish unity with Northern Ireland. However, it is not currently part of a government coalition.

The Green Party, led by Ã‰amon Ã“ CuÃ",1,
2,When did toronto host the mlb all-star game?,"Toronto has hosted the MLB All-Star Game twice: in **1976** and again in **1991**.

*   **1976:** The first time Toronto hosted was a significant event, marking the first time an MLB All-Star Game was held outside of the United States. It took place at Exhibition Place's Jarry Park.
*   **1991:**  Toronto welcomed the All-Star Game back in 1991, this time at the SkyDome (now Rogers Centre).



These events were major milestones for both Toronto and Major League Baseball, showcasing the cityâ€™s growing importance as a baseball hub.",2,
3,When did the rams go to st louis?," The St. Louis Rams, now known as the Los Angeles Rams, moved to St. Louis in 1995. Prior to that, they were based in Anaheim, California, where they played as the Los Angeles Rams from their establishment in 1936 until their move to St. Louis. The team returned to Los Angeles in 2016.",5,
4,Who is opening for shania twain in ottawa?," As of my last update, the information about who is opening for Shania Twain in Ottawa was not provided in the context given. To find out who the opening act is, I would recommend checking Shania Twain's official website, social media accounts, or contacting her management team directly. It's also a good idea to keep an eye on local news and event listings for updates regarding concert lineups.",3,
5,When did the seljuk empire begin and end?,"The Seljuk Empire's existence spanned roughly from the mid-11th century to the late 13th century, though pinpointing exact start and end dates is complex due to its evolving nature and fragmentation. Hereâ€™s a breakdown of its timeline:

**Beginnings (Mid-11th Century - c. 1055-1097):**

The Seljuk Empire didn't emerge from nothing; it grew out of the Turkic Seljuk dynasty, originally nomadic warriors originating in Central Asia. The key figure marking the beginning is **Seljuk I**, who began raiding Persia in the early 11th century. However, the formal establishment of a significant empire is generally linked to his nephew, **Tughrul Beg**.

*   **Early Raids (c. 1037 onwards):** Seljuk and his followers started incursions into Persian territories controlled by the Abbasid Caliphate. These were initially raids for plunder and resources.
*   **Battle of DandÄ",3,
6,Who sings the song for stuck in the middle?,"The song ""Stuck in the Middle with You"" was performed and recorded by the American rock band Journey. The lead vocals were sung by Steve Perry, who is best known as the frontman of Journey. Perry's distinctive voice and powerful delivery made him a standout performer on this track.

Steve Perry wrote the lyrics for ""Stuck in the Middle with You"" along with his bandmates Neal Schon (guitar) and Jonathan Cain (bass). The song was released as the lead single from Journey's eighth studio album, ""Escape,"" which was released in 1982. It became one of the band's most popular and enduring hits, reaching number two on the U. S. Billboard Hot 100 chart.

The song's catchy melody and Perry's energetic vocals made it a staple of classic rock radio and helped solidify Journey's status as one of the most successful and influential bands of the 1980s. ""Stuck in the Middle with You"" has since become an iconic track, often referenced in popular culture and used in various media productions.

Steve Perry's performance on this song is particularly notable for its memorable guitar riff and Perry's ability to convey a sense of urgency and passion through his vocals. The song's lyrics, which describe a relationship that feels stuck in a rut, have also contributed to its enduring popularity and relevance over the years.",1,
7,When did us currency leave the gold standard?," The United States officially left the gold standard on August 15, 1971, during President Richard Nixon's administration. This event is commonly known as the ""Nixon Shock."" Prior to this date, the U.S. dollar was directly linked to gold, with one ounce of gold being equal to $35. This meant that paper money could be exchanged for a specific amount of gold. However, due to increasing international pressure and domestic economic issues, President Nixon decided to sever the link between the U.S. dollar and gold, effectively ending the gold standard in the United States. This move allowed governments greater flexibility in managing their economies without being constrained by the limitations imposed by the gold standard.",5,
8,When is fortnite battle royale being released on android?,"Fortnite Battle Royale was initially released for Android devices on June 26, 2017. The game's mobile version quickly gained popularity among players worldwide, offering a more accessible and convenient way to enjoy the popular battle royale experience on-the-go.

Since its initial release, Fortnite has undergone numerous updates and expansions, including the addition of new modes like Save the World and Creative Mode, as well as regular seasonal events that introduce new content and challenges. The mobile version has also received optimizations and bug fixes to ensure a smooth and enjoyable gaming experience for players on Android devices.

As of my last update in October 2023, Fortnite Battle Royale remains available on both iOS and Android platforms, with the mobile version continuing to receive regular updates and patches to keep up with the latest features and improvements. Players can download the game from the Google Play Store or Apple App Store, depending on their device.

It's worth noting that while the core gameplay experience is consistent across all platforms, there may be slight differences in performance and available content based on the specific device and operating system version. However, for most players, the mobile version of Fortnite Battle Royale offers a fully functional and enjoyable gaming experience, allowing them to participate in epic battles and explore the vast virtual world from their smartphones or tablets.",1,
9,How many states in india are under congress?,"As of my last update in October 2023, there are 16 states in India that are currently ruled by the Indian National Congress (INC). The INC is one of the oldest political parties in India and has a significant historical presence in the country's political landscape.

Here is a list of the 16 states under the Congress government as of my last update:

1. **Andhra Pradesh** - Led by Yogi Aditya
2. **Arunachal Pradesh** - Led by Pawan Kumar
3. **Assam** - Led by Kamal Lochan
4. **Bihar** - Led by Nitish Kumar
5. **Chhattisgarh** - Led by Uma Bharti
6. **Goa** - Led by Pratibha Patil (though she is not from Congress, her party has a strong presence in the state)
7. **Gujarat** - Led by Gandhinagar (the capital city is ruled by a Congress-led coalition)
8. **Haryana** - Led by Manohar Lal
9. **Jharkhand** - Led by Uma Bharti (same as Chhattisgarh, part of the same government)
10. **Karnataka** - Led by Jagadish Pratap Singh
11. **Kerala** - Led by Pinarayi Vijayan
12. **Madhya Pradesh** - Led by Shivraj Singh Chouhan (part of a Congress-led coalition)
13. **Maharashtra** - Led by Ashok Gehlot (part of a Congress-led coalition)
14. **Manipur** - Led by Natiya Mani
15. **Meghalaya** - Led by Pratibha Patil (same as Goa, part of the same government)
16. **Tamil Nadu** - Led by Kamal Jaya

It's worth noting that the political landscape in India is subject to change due to various factors such as elections, internal party dynamics, and shifting public opinion. Therefore, it's always a good idea to check the most current information from reliable sources for the most accurate data.

The Congress party has had a long history of governance in these states, often forming coalitions with other parties to maintain power. This political alignment reflects the complex nature of Indian politics, where regional and national interests intersect, leading to diverse political configurations across different states.",1,
